subject,model,acc,f1,roc_auc,mcc
Subject00,LogReg,0.8125,0.6783320923306031,0.8912037037037037,0.43312457702698676
Subject00,RF,0.8333333333333334,0.7,0.96875,0.5222329678670935
Subject01,LogReg,0.75,0.71875,0.7754629629629629,0.4879500364742666
Subject01,RF,0.7291666666666666,0.5353685778108712,0.45254629629629634,0.11812488464372366
Subject02,LogReg,0.25,0.2,0.7546296296296297,0.0
Subject02,RF,0.4583333333333333,0.3696969696969697,0.24537037037037035,-0.24845199749997662
Subject03,LogReg,0.7083333333333334,0.4146341463414634,0.7777777777777778,-0.12038585308576921
Subject03,RF,0.7708333333333334,0.5106580166821131,0.7546296296296298,0.2526455763199557
Subject04,LogReg,0.41304347826086957,0.2923076923076923,0.31862745098039214,-0.41325293539768204
Subject04,RF,0.6956521739130435,0.41025641025641024,0.42034313725490197,-0.12666009927622474
Subject05,LogReg,0.9166666666666666,0.8736842105263158,0.9745370370370371,0.7745966692414834
Subject05,RF,0.7291666666666666,0.4864197530864197,0.6990740740740741,0.049690399499995326
Subject06,LogReg,0.7916666666666666,0.7722960151802657,0.9768518518518519,0.6276459144608478
Subject06,RF,0.7708333333333334,0.7025352112676057,0.7662037037037037,0.4059989714705751
Subject07,LogReg,0.5416666666666666,0.5408695652173914,0.8032407407407407,0.3704792868174742
Subject07,RF,0.6875,0.5428571428571429,0.7928240740740741,0.09245003270420486
Subject08,LogReg,0.75,0.49825783972125437,0.7060185185185185,0.12038585308576921
Subject08,RF,0.7916666666666666,0.5818815331010453,0.8946759259259259,0.36115755925730764
Subject09,LogReg,0.7291666666666666,0.6998556998556998,0.7708333333333334,0.46068221272042836
Subject09,RF,0.7291666666666666,0.5353685778108712,0.8530092592592593,0.11812488464372366
Subject10,LogReg,0.1836734693877551,0.1806020066889632,0.10810810810810809,-0.5484839634734997
Subject10,RF,0.5102040816326531,0.4,0.1813063063063063,-0.1941419588628388
Subject11,LogReg,0.2708333333333333,0.23041685753550162,0.8865740740740741,0.0842151921066519
Subject11,RF,0.6458333333333334,0.3924050632911392,0.4930555555555556,-0.19687480773953944
Subject12,LogReg,0.3541666666666667,0.3538862353452019,0.32638888888888895,-0.08119979429411502
Subject12,RF,0.6875,0.5943661971830986,0.5949074074074074,0.18946618668626838
Subject13,LogReg,0.22916666666666666,0.1864406779661017,0.04166666666666667,-0.2526455763199557
Subject13,RF,0.4375,0.30434782608695654,0.011574074074074068,-0.38924947208076144
Subject14,LogReg,0.5833333333333334,0.5714285714285714,0.7268518518518519,0.29277002188455997
Subject14,RF,0.625,0.38461538461538464,0.4097222222222222,-0.21821789023599236
Subject15,LogReg,0.7916666666666666,0.5818815331010453,0.9421296296296297,0.36115755925730764
Subject15,RF,0.75,0.42857142857142855,0.6631944444444444,0.0
Subject16,LogReg,0.6666666666666666,0.6515426497277677,0.9050925925925926,0.4345240946267408
Subject16,RF,0.8333333333333334,0.7473684210526316,0.8391203703703703,0.5163977794943223
Subject17,LogReg,0.25,0.2,0.7638888888888888,0.0
Subject17,RF,0.5833333333333334,0.3684210526315789,0.3125,-0.25819888974716115
Subject18,LogReg,0.7708333333333334,0.6855270994639666,0.8032407407407407,0.3720364745708926
Subject18,RF,0.75,0.42857142857142855,0.6412037037037037,0.0
