fold,test_subject,acc,f1,mcc,roc_auc,test_loss
1,Subject00,0.7291666666666666,0.0,-0.0842151921066519,0.4050925925925926,0.7419506311416626
2,Subject01,0.75,0.0,0.0,0.4652777777777778,0.5686752200126648
3,Subject02,0.6875,0.11764705882352941,-0.039374961547907886,0.31712962962962965,0.8723546862602234
4,Subject03,0.6458333333333334,0.0,-0.19687480773953944,0.4097222222222222,0.7219300270080566
5,Subject04,0.6739130434782609,0.0,-0.15691973428978245,0.42647058823529416,0.7330294251441956
6,Subject05,0.75,0.14285714285714285,0.12038585308576921,0.4560185185185185,0.5870424509048462
7,Subject06,0.6875,0.2857142857142857,0.09245003270420486,0.45138888888888884,0.7358791828155518
8,Subject07,0.6458333333333334,0.19047619047619047,-0.030816677568068288,0.5185185185185186,0.6636040210723877
9,Subject08,0.6666666666666666,0.2,0.0,0.5555555555555556,0.6181716322898865
10,Subject09,0.6875,0.11764705882352941,-0.039374961547907886,0.49537037037037035,0.7056958079338074
11,Subject10,0.7551020408163265,0.0,0.0,0.6171171171171171,0.5357384085655212
12,Subject11,0.7083333333333334,0.125,0.0,0.6157407407407407,0.5657057166099548
13,Subject12,0.625,0.1,-0.12909944487358058,0.4907407407407407,0.6857551336288452
14,Subject13,0.7708333333333334,0.15384615384615385,0.2526455763199557,0.6111111111111112,0.5705457925796509
15,Subject14,0.75,0.0,0.0,0.7384259259259259,0.5161903500556946
16,Subject15,0.6666666666666666,0.0,-0.17407765595569785,0.5115740740740741,0.6634012460708618
17,Subject16,0.625,0.0,-0.21821789023599236,0.4722222222222222,0.6870988607406616
18,Subject17,0.75,0.0,0.0,0.7314814814814815,0.5052841901779175
19,Subject18,0.7083333333333334,0.2222222222222222,0.07273929674533079,0.45138888888888884,0.741825520992279
20,Subject19,0.75,0.0,0.0,0.5023148148148148,0.5832988619804382
21,Subject20,0.7291666666666666,0.13333333333333333,0.049690399499995326,0.4722222222222222,0.7569982409477234
22,Subject21,0.7083333333333334,0.0,-0.12038585308576921,0.33564814814814814,0.720771074295044
23,Subject22,0.75,0.0,0.0,0.5416666666666666,0.619766354560852
24,Subject23,0.75,0.14285714285714285,0.12038585308576921,0.6273148148148149,0.5498905181884766
25,Subject24,0.7708333333333334,0.15384615384615385,0.2526455763199557,0.611111111111111,0.5487768650054932
26,Subject25,0.7083333333333334,0.3,0.12909944487358058,0.5902777777777778,0.6123987436294556
27,Subject26,0.7708333333333334,0.15384615384615385,0.2526455763199557,0.4722222222222222,0.696988582611084
28,Subject27,0.75,0.0,0.0,0.35648148148148145,0.5902723073959351
29,Subject28,0.6666666666666666,0.2727272727272727,0.05923488777590923,0.6018518518518519,0.624518632888794
30,Subject29,0.6458333333333334,0.0,-0.19687480773953944,0.46064814814814814,0.6782722473144531
31,Subject30,0.7708333333333334,0.26666666666666666,0.24845199749997662,0.4189814814814815,0.6784861087799072
32,Subject31,0.5714285714285714,0.0,0.0,0.5260416666666667,0.8711705207824707
33,Subject32,0.6875,0.0,-0.14907119849998599,0.5717592592592592,0.6081392765045166
34,Subject33,0.5833333333333334,0.16666666666666666,-0.1111111111111111,0.5185185185185186,0.7946096658706665
35,Subject34,0.6666666666666666,0.2,0.0,0.4398148148148148,0.6864790916442871
36,Subject35,0.75,0.0,0.0,0.6249999999999999,0.5670642256736755
