subject,model,acc,f1,roc_auc,mcc
Subject12,LogReg,0.3695652173913043,0.36687233032747985,0.3116883116883117,-0.07223569954963308
Subject12,RF,0.6086956521739131,0.5379464285714286,0.6935064935064935,0.09869942695647384
Subject13,LogReg,0.21739130434782608,0.17857142857142858,0.051948051948051965,-0.2659080117391552
Subject13,RF,0.5217391304347826,0.34285714285714286,0.0038961038961038974,-0.3142857142857143
Subject14,LogReg,0.5,0.4997635933806146,0.7714285714285715,0.33305310349537226
Subject14,RF,0.7608695652173914,0.43209876543209874,0.2779220779220779,0.0
Subject15,LogReg,0.8260869565217391,0.663003663003663,0.9896103896103896,0.4711552981879444
Subject15,RF,0.7608695652173914,0.43209876543209874,0.5597402597402596,0.0
Subject16,LogReg,0.6304347826086957,0.621673923560716,0.9350649350649352,0.4494895063586364
Subject16,RF,0.782608695652174,0.7181372549019608,0.8714285714285714,0.4404473690498966
Subject17,LogReg,0.2391304347826087,0.19298245614035087,0.7974025974025973,0.0
Subject17,RF,0.5652173913043478,0.4025974025974026,0.23896103896103893,-0.19480519480519481
Subject18,LogReg,0.717391304347826,0.5309803921568628,0.8467532467532468,0.08553372034476997
Subject18,RF,0.7391304347826086,0.425,0.5337662337662338,-0.08357108940373449
Subject19,LogReg,0.9347826086956522,0.9176119402985075,0.9766233766233766,0.8475655413823615
Subject19,RF,0.7608695652173914,0.50730282375852,0.9727272727272728,0.13038857556375202
Subject20,LogReg,0.782608695652174,0.5787545787545787,0.8935064935064935,0.264744405648464
Subject20,RF,0.6739130434782609,0.4025974025974026,0.33116883116883117,-0.17300859166271382
Subject21,LogReg,0.4782608695652174,0.3235294117647059,0.17142857142857146,-0.3518657752744984
Subject21,RF,0.6521739130434783,0.39473684210526316,0.18831168831168832,-0.19577417125965363
Subject22,LogReg,0.7608695652173914,0.5619047619047619,0.9194805194805196,0.18873664545023325
Subject22,RF,0.782608695652174,0.5208333333333334,0.9337662337662338,0.2659080117391552
Subject23,LogReg,0.7608695652173914,0.43209876543209874,0.974025974025974,0.0
Subject23,RF,0.7608695652173914,0.43209876543209874,0.8051948051948052,0.0
Subject24,LogReg,0.9347826086956522,0.9176119402985075,0.9584415584415584,0.8475655413823615
Subject24,RF,0.717391304347826,0.4177215189873418,0.47142857142857136,-0.11952286093343936
Subject25,LogReg,0.8043478260869565,0.5968841285296982,0.5766233766233767,0.38030001206094344
Subject25,RF,0.7608695652173914,0.43209876543209874,0.738961038961039,0.0
Subject26,LogReg,0.8695652173913043,0.7927927927927928,0.9402597402597404,0.613820499288704
Subject26,RF,0.6739130434782609,0.4025974025974026,0.2779220779220779,-0.17300859166271382
Subject27,LogReg,0.9130434782608695,0.8927738927738929,0.9766233766233766,0.8059303999253344
Subject27,RF,0.7608695652173914,0.5619047619047619,0.8610389610389612,0.18873664545023325
Subject28,LogReg,0.7608695652173914,0.43209876543209874,0.9324675324675326,0.0
Subject28,RF,0.7608695652173914,0.43209876543209874,0.7883116883116883,0.0
Subject29,LogReg,0.7608695652173914,0.43209876543209874,0.9480519480519481,0.0
Subject29,RF,0.8260869565217391,0.663003663003663,0.942857142857143,0.4711552981879444
Subject30,LogReg,0.782608695652174,0.5208333333333334,0.9974025974025974,0.2659080117391552
Subject30,RF,0.7608695652173914,0.43209876543209874,0.9909090909090909,0.0
Subject31,LogReg,0.6923076923076923,0.6848484848484848,0.9757575757575758,0.5197840307247724
Subject31,RF,0.5,0.4609250398724083,0.4,-0.06487491201346025
Subject32,LogReg,0.782608695652174,0.6217105263157895,0.903896103896104,0.29544102208275
Subject32,RF,0.7608695652173914,0.43209876543209874,0.9558441558441558,0.0
Subject33,LogReg,0.782608695652174,0.7526881720430108,0.9064935064935065,0.5647869771078696
Subject33,RF,0.8478260869565217,0.7212121212121212,0.9948051948051948,0.5504818825631803
Subject34,LogReg,0.8478260869565217,0.8165242165242166,0.9116883116883118,0.6606437893829143
Subject34,RF,0.7391304347826086,0.5460526315789473,0.661038961038961,0.1317026243019488
Subject35,LogReg,0.2391304347826087,0.19298245614035087,0.6025974025974026,0.0
Subject35,RF,0.8913043478260869,0.855072463768116,0.9415584415584416,0.7115225392855681
